"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Gastric cancer","23/149",0.00712392097402934,0.0590196652968599,0,0,1.86237862338314,9.20815305263259,"TGFB2;CDKN1A;CDKN2B;TCF7L1;ABCB1;SMAD3;HGF;FZD7;WNT5A;GAB1;PIK3R3;MLH1;EGFR;GADD45G;DDB2;LRP6;DVL2;BCL2;TP53;WNT2;FGFR2;FGF10;MAPK3"
"Chronic myeloid leukemia","14/76",0.00716930122811958,0.0590196652968599,0,0,2.30028436362319,11.3586824722655,"CDKN1A;HDAC2;TGFB2;SMAD3;CTBP1;CDKN2A;PIK3R3;DDB2;GADD45G;CDK6;CDK4;MDM2;TP53;MAPK3"
"Rap1 signaling pathway","30/210",0.00737615717359164,0.0590196652968599,0,0,1.70207743153919,8.35635337839262,"RALA;ADCY4;PIK3R3;PARD6G;ADCY1;SIPA1L2;ADCY8;EFNA4;EGFR;GRIN2A;SIPA1L1;PDGFC;RALGDS;MAP2K6;MAPK3;HGF;MAGI3;VEGFC;ARAP3;IGF1;NGF;VEGFA;EVL;TLN2;PLCB1;FGFR4;FGFR2;PFN2;RAPGEF4;FGF10"
"Small cell lung cancer","16/92",0.00747326930706992,0.0590196652968599,0,0,2.14538031419189,10.5046889077422,"CDKN1A;CDKN2B;LAMB3;ITGA2;PTEN;PIK3R3;PTGS2;DDB2;GADD45G;CDK6;TRAF4;TRAF3;CDK4;BCL2;COL4A5;TP53"
"Amphetamine addiction","13/69",0.00774757027643145,0.0596562911285222,0,0,2.36428771845438,11.491327277938,"HDAC2;JUN;CAMK2A;CACNA1C;GRIN2A;CREB1;CREB3L1;CAMK4;PPP1R1B;PRKACB;GRIA3;ATF4;CREB5"
"Insulin secretion","15/86",0.00916464986737584,0.0664052632266978,0,0,2.15231840481089,10.0995423300009,"CAMK2A;ADCY4;ATP1A2;ADCY1;CACNA1C;ADCY8;CCKAR;CREB1;CREB3L1;KCNMA1;PLCB1;PRKACB;ATF4;CREB5;RAPGEF4"
"TGF-beta signaling pathway","16/94",0.00918546550602773,0.0664052632266978,0,0,2.09013995186002,9.80303411303561,"SMAD1;CDKN2B;TGFB2;TGIF2;SMAD3;FST;SMAD9;RGMB;GDF5;THSD4;INHBE;GREM1;GREM2;ACVR1C;NEO1;MAPK3"
"Ferroptosis","9/41",0.00927086467125976,0.0664052632266978,0,0,2.86178961366181,13.3956898388731,"PRNP;GPX4;GSS;HMOX1;ACSL4;SLC7A11;ACSL3;TP53;FTL"
"Cocaine addiction","10/49",0.0105797132652514,0.0726192265466314,0,0,2.60949508008332,11.8701154629733,"GPSM1;GRIN2A;JUN;CREB1;DLG4;CREB3L1;PPP1R1B;PRKACB;ATF4;CREB5"
"Estrogen signaling pathway","21/137",0.0106099519305143,0.0726192265466314,0,0,1.84595984138709,8.3916648743661,"HSPA8;JUN;HSP90AA1;HSP90AB1;MMP2;HSPA6;ADCY4;PIK3R3;ADCY1;ADCY8;ESR1;EGFR;CREB1;CREB3L1;GPER1;BCL2;PLCB1;PRKACB;ATF4;CREB5;MAPK3"
"Human T-cell leukemia virus 1 infection","30/219",0.013041351615851,0.0861984145506254,0,0,1.62021673636405,7.03114127930312,"CDKN1A;ADCY4;PTEN;PIK3R3;ADCY1;ADCY8;CCND2;CREB3L1;PRKACB;MAPK3;EGR2;JUN;CDKN2B;TGFB2;RANBP3;SMAD3;MSX2;CDKN2A;HLA-B;HLA-A;NFATC4;MAPK10;CREB1;CDK4;TLN2;TCF3;TP53;MAP3K14;ATF4;CREB5"
